Country,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Mayotte2,Suspected cases,"2,023","1,214","1,463",,,,,,,,,,
,Presumed and confirmed,396,92,72,82,15,11,28,19,47,,,,
,Confirmed,396,92,72,82,15,11,28,19,47,,,,
,Microscopy examined,"2,023","1,214","1,463",,,,,,,,,,
,Microscopy positive,396,92,72,82,15,11,28,19,47,,,,
,Imported cases,236,51,47,71,14,10,10,10,44,,,,
,Relapse cases,0,0,0,,0,,,,,,,,
Mozambique,Suspected cases,"6,097,263","7,059,112","6,265,567","8,565,263","12,612,456","15,057,398","17,490,954","17,463,976","18,791,446","21,180,727","19,516,184","19,238,020","23,225,280"
,Presumed and confirmed,"3,381,371","3,344,413","3,296,332","4,261,529","7,452,733","8,306,986","10,373,341","9,981,277","10,339,330","11,781,516","11,331,009","10,106,592","12,405,868"
,Confirmed,"1,522,577","1,756,874","1,853,276","3,282,172","7,407,175","8,222,814","9,690,873","9,892,601","10,304,472","11,734,926","11,318,685","10,095,807","12,387,459"
,Microscopy examined,"1,950,933","2,504,720","2,546,213","2,058,998","2,295,823","2,313,129","1,886,154","1,699,589","1,909,051","1,669,097","1,293,955","833,970","1,129,094"
,Microscopy positive,"644,568","1,093,742","886,143","774,891","1,009,496","735,750","674,697","700,282","743,435","608,016","473,160","271,441","371,766"
,RDT examined,"2,287,536","2,966,853","2,276,298","5,526,908","10,271,075","12,660,097","14,922,332","15,675,711","16,847,537","19,465,040","18,209,905","18,393,265","22,077,777"
,RDT positive,"878,009","663,132","967,133","2,507,281","6,397,679","7,487,064","9,016,176","9,192,319","9,561,037","11,126,910","10,845,525","9,824,366","12,015,693"
Namibia2,Suspected cases,"39,855",61’145**,"10,844",32’495**,185’078**,207’612**,308’414**,616’513**,394’822**,295’367**,258’145**,263’202**,"369,364"
,Presumed and confirmed,"25,889",14’071^,"3,163",4’775‡,15’692^,12’050‡,24’869^,66’141^,36’451^,3’404^,13’636^,13’738^,"11,849"
,Confirmed,556,1’525^,194,4’775‡,15’692^,12’050‡,24’869^,66’141^,36’451^,3’404^,13’636^,13’738^,"11,849"
,Microscopy examined,"14,522","13,262","7,875","1,507","1,894","1,471","1,778","1,778","1,215",511,809,245,"1,039"
,Microscopy positive,556,335,194,136,222,118,329,364,289,301,168,100,49
,RDT examined,,"48,599",,"32,495","185,078","207,612","308,414","616,513","394,822","295,367","258,145","263,202","362,797"
,RDT positive,,"1,525",,"4,775","15,692","12,050","24,869","66,141","36,451","3,404","13,636","13,738","11,800"
,Imported cases,,,,,,"2,888","3,980","11,874","4,021","1,064","1,342",759,"1,548"
Niger,Suspected cases,"11,231,308","5,315,185","7,818,305","5,584,223","7,100,212","4,671,411","7,347,200","4,013,178","4,810,919","6,214,192","7,110,541","6,506,016","9,001,730"
,Presumed and confirmed,"4,231,896","4,401,099","6,398,943","4,333,905","5,247,235","3,937,742","5,166,336","2,761,268","3,358,058","4,402,685","5,235,815","4,661,376","5,648,740"
,Confirmed,"642,774","838,585","2,329,260","2,373,591","3,963,768","2,392,108","4,258,110","2,761,268","3,046,450","3,771,451","4,377,938","4,044,707","5,166,412"
,Microscopy examined,"165,514","130,658","1,781,505","1,799,299","2,872,710","295,229","3,198,194","203,583","213,795","303,115","337,657","264,694","445,044"
,Microscopy positive,"49,285","68,529","1,119,929","1,176,711","1,953,279","206,660","2,120,515","125,856","121,657","211,783","223,601","198,998","267,548"
,RDT examined,"7,476,672","1,622,013","1,967,117","1,824,610","2,944,035","2,830,548","3,240,780","3,809,595","4,285,516","5,279,843","5,915,007","5,624,653","8,074,358"
,RDT positive,"593,489","770,056","1,209,331","1,196,880","2,010,489","2,185,448","2,137,595","2,635,412","2,924,793","3,559,668","4,154,337","3,845,709","4,898,864"
Nigeria,Suspected cases,,"5,221,656","11,789,970","21,659,831","20,558,467","20,243,915","29,113,322","25,106,551","25,381,459","29,489,245","27,370,935","30,202,722","32,983,459"
,Presumed and confirmed,"3,873,463","4,306,945","6,938,519","12,830,911","17,257,495","16,702,261","23,956,669","20,219,268","20,482,380","23,376,793","21,580,055","23,608,797","24,968,466"
,Confirmed,"551,187",,,,"8,572,322","8,068,583","13,598,282","13,087,878","14,548,024","19,806,915","18,325,240","21,325,186","23,050,405"
,Microscopy examined,,"672,185","1,953,399","1,633,960","1,681,469","839,849","901,141","1,055,444","1,428,731","3,298,156","3,086,039","3,405,012","3,186,224"
,Microscopy positive,"523,513",,,,"1,233,654","556,871","618,363","749,118","1,023,273","2,476,514","2,312,163","2,559,742","2,377,840"
,RDT examined,"45,924","242,526","2,898,052","7,194,960","10,191,825","10,770,388","17,853,794","16,919,717","18,018,372","22,621,211","21,030,081","24,514,099","27,879,174"
,RDT positive,"27,674",,,,"7,338,668","7,511,712","12,979,919","12,338,760","13,524,751","17,330,401","16,013,077","18,765,444","20,672,565"
Rwanda,Suspected cases,"2,883,666","1,802,382","3,095,386","3,064,585","4,178,206","6,093,114","7,502,174","11,186,029","9,666,424","8,829,176","6,879,911","5,576,953","5,117,823"
,Presumed and confirmed,"669,322","273,293","483,470","962,618","1,623,176","2,505,794","3,380,568","5,940,533","4,231,883","3,612,822","2,043,392",1’163’670*,"857,228"
,Confirmed,"669,322","273,293","483,470","962,618","1,623,176","2,505,794","3,380,568","5,940,533","4,231,883","3,612,822","2,043,392",1’163’670*,"857,228"
,Microscopy examined,"2,708,973","1,602,271","2,904,793","2,862,877","4,010,202","5,811,267","6,603,261","6,637,571","5,501,455","4,576,495","3,181,252","3,175,568","3,023,720"
,Microscopy positive,"638,669","208,858","422,224","879,316","1,541,189","2,354,400","2,916,902","2,927,780","1,657,793","1,144,762","493,480","259,161","205,153"
,RDT examined,"174,693","200,111","190,593","201,708","168,004","281,847","898,913","4,548,458","4,164,969","4,252,681","3,698,659","2,401,385","2,094,103"
,RDT positive,"30,653","64,435","61,246","83,302","81,987","151,394","463,666","3,012,753","2,574,090","2,468,060","1,549,912","904,509","652,075"
Sao Tome and Principe2,Suspected cases,"76,593","117,279","126,897","108,634","91,445","84,348","121,409","96,612","169,883","202,207","195,365","163,496","228,377"
,Presumed and confirmed,"3,146","8,442","12,550","9,243","1,754","2,058","2,238","2,241","2,940","2,742","1,944","2,730","3,979"
,Confirmed,"3,146","8,442","12,550","9,243","1,754","2,058","2,238","2,241","2,940","2,742","1,944","2,730","3,979"
,Microscopy examined,"48,366","83,355","103,773","73,866","33,355","11,941","3,682","2,146","13,186","4,071","30,265","6,739","4,058"
,Microscopy positive,"2,233","6,373","10,706","6,352",569,140,33,109,148,306,"1,544","2,397","2,502"
,RDT examined,"28,227","33,924","23,124","34,768","58,090","72,407","117,727","94,466","156,697","198,136","165,100","156,757","224,319"
,RDT positive,913,"2,069","1,844","2,891","1,185","1,918","2,205","2,132","2,792","2,436",400,333,"1,477"
,Imported cases,,,,,,2,0,2,3,10,11,11,9
Senegal2,Suspected cases,"721,687","633,380","686,047","867,157","727,918","1,421,221","1,559,054","2,035,693","2,096,124","2,010,398","2,206,842","2,632,540","2,193,851"
,Presumed and confirmed,"390,015","328,276","404,762","475,144","296,367","502,084","356,272","398,377","536,745","359,246","452,984","547,773","391,679"
,Confirmed,"330,331","274,119","294,385","366,687","265,624","492,253","349,540","395,706","530,944","354,708","445,313","536,850","358,033"
,Microscopy examined,"27,793","18,325","19,946","24,205","19,343","26,556","38,748","21,639","12,881","11,356","13,641","15,963","20,296"
,Microscopy positive,"16,226","12,770","14,144","17,522","11,262","17,846","9,918","10,463","3,997","2,496","3,881","5,222","4,664"
,RDT examined,"634,210","560,898","555,724","734,495","677,832","1,384,834","1,513,574","2,011,383","2,077,442","1,994,504","2,185,530","2,605,654","2,139,909"
,RDT positive,"314,105","261,349","280,241","349,165","254,362","474,407","339,622","385,243","526,947","352,212","441,432","531,628","353,369"
,Imported cases,,,,,,0,0,0,292,45,0,0,0
Sierra Leone,Suspected cases,"2,327,928","1,150,747","2,579,296","2,576,550","2,647,375","2,337,297","2,996,959","2,935,447","2,895,596","4,169,146","1,860,018","3,174,623","2,979,539"
,Presumed and confirmed,"934,028","861,491","1,945,859","1,715,851","1,898,852","1,569,606","1,845,727","1,741,512","1,781,855","2,445,392","1,223,397","2,043,818","1,862,886"
,Confirmed,"934,028","644,018","1,537,322","1,701,958","1,374,476","1,483,376","1,775,306","1,651,236","1,733,831","2,407,505","725,006","1,953,902","1,768,419"
,Microscopy examined,"718,473","46,280","194,787","185,403","66,277","75,025","120,917","10,910","20,155","140,768","149,100","137,649","167,999"
,Microscopy positive,"218,473","30,670","104,533","76,077","39,414","37,820","60,458","5,717","8,719","35,055","71,001","71,448","78,371"
,RDT examined,"1,609,455","886,994","1,975,972","2,377,254","2,056,722","2,176,042","2,805,621","2,834,261","2,827,417","3,990,491","1,212,527","2,947,058","2,660,791"
,RDT positive,"715,555","613,348","1,432,789","1,625,881","1,335,062","1,445,556","1,714,848","1,645,519","1,725,112","2,372,450","654,005","1,882,454","1,690,048"
South Africa2,Suspected cases,"276,669","382,434","151,344","603,726","540,913","43,515","63,277","56,257",,,"98,562",97’213**,28’641**
,Presumed and confirmed,"8,060","9,866","6,621","8,645","11,705","4,959","4,323","29,615","10,789","13,833",8’126^‡,"5,889",7’280^
,Confirmed,"8,060","9,866","6,621","8,645","11,705","4,959","4,323","29,615","10,789","13,833",8’126^‡,"5,889",7’280^
,Microscopy examined,,"178,387","121,291","364,021","300,291","13,917","20,653",,,,"4,654","1,426","6,758"
,Microscopy positive,"3,787","5,986","1,632","2,572","4,101",785,"1,219","9,592","2,666",477,622,"1,426","1,190"
,RDT examined,"276,669","204,047","30,053","239,705","240,622","29,598","42,624","56,257",,,"11,982","96,802","28,641"
,RDT positive,"4,273","3,880","4,989","6,073","7,604","4,174","3,104","20,023","8,123","13,356","8,126","4,463","7,280"
,Imported cases,,,,,,"3,568","3,075","6,234","5,742","8,890","3,663","2,917","5,237"
South Sudan4,Suspected cases,,,,,"2,492,473","3,814,332","566,043","5,391,360","6,405,779","5,258,306",,"4,038,950","9,874,633"
,Presumed and confirmed,"900,283","1,473,653","1,125,039","1,855,501","2,433,991","3,789,475","555,957","4,054,795","4,697,506","4,064,662",1’805’371+*‡,"3,149,649","5,538,588"
,Confirmed,"900,283","112,024","225,371","262,520","71,377","24,371","7,619","1,488,005","98,843","1,903,742",661’922+*‡,"2,017,227","2,527,657"
,Microscopy examined,,,,,"27,321","22,721","6,954","800,067","1,204","4,689","33,656","300,439","3,593,783"
,Microscopy positive,"900,283","112,024","225,371","262,520","18,344","11,272","2,357","335,642",634,"1,237","16,535","173,612","259,472"
,RDT examined,,,,,"102,538","26,507","10,751","2,024,503","1,805,912","3,092,697","280,150","2,606,089","3,269,919"
,RDT positive,,,,,"53,033","13,099","5,262","1,152,363","98,209","1,902,505","192,095","1,843,615","2,268,185"
Togo,Suspected cases,"2,035,303","906,276","1,590,266","1,550,804","2,255,010","2,356,048","2,577,029","2,747,984","3,009,800","3,531,375",,"3,091,060","3,536,879"
,Presumed and confirmed,"1,441,199","519,452","909,129","965,832","1,524,339","1,610,711","1,746,334","1,756,582","2,002,877","2,406,091",,1’845’368^‡,2’222’943+‡
,Confirmed,"1,019,029","506,764","909,129","965,832","1,524,339","1,610,711","1,746,334","1,756,582","2,002,877","2,406,091",,1’845’368^‡,2’222’943+‡
,Microscopy examined,"478,354","502,977","579,507","560,538","621,119","643,815","501,516","482,664","446,404","492,629",,"623,623","545,147"
,Microscopy positive,"206,071","224,619","260,535","272,984","310,207","317,578","231,919","209,626","229,267","269,526",,"245,956","197,157"
,RDT examined,"1,134,779","390,611","1,010,759","990,266","1,633,891","1,712,233","2,075,513","2,265,320","2,563,396","3,038,746",,"2,332,983","2,911,059"
,RDT positive,"812,958","282,145","648,594","692,848","1,214,132","1,293,133","1,514,415","1,546,956","1,773,610","2,136,565",,"1,617,949","2,017,505"
Uganda,Suspected cases,"15,320,926","12,362,291","16,845,771","26,145,615","19,201,136","22,952,246","27,257,784","22,319,643","17,111,650","25,756,835","27,434,176","25,048,071","30,886,839"
,Presumed and confirmed,"13,217,617","11,991,843","13,591,932","16,541,563","13,724,345","13,696,889","14,008,604","11,667,831","8,522,824","15,592,793",17’475’040+£,15’144’755+*£,20’012’873+£
,Confirmed,"1,666,582","316,241","2,662,258","1,502,362","3,631,939","7,412,747","9,735,849","11,667,831","5,759,174","13,982,362",16’329’136+£,14’336’387+*£,19’185’472+£
,Microscopy examined,"3,705,284","385,928","3,466,571","3,718,588","2,048,185","3,684,722","4,492,090","5,515,931","1,606,330","4,691,859","4,284,114","4,029,037","4,850,295"
,Microscopy positive,"1,628,595","134,726","1,413,149","1,502,362","578,289","1,248,576","1,542,091","1,694,441","458,909","1,622,576","1,647,933","1,513,116","1,867,654"
,RDT examined,"64,607","300,761","2,449,526","7,387,826","7,060,545","12,983,382","18,492,939","16,803,712","12,741,670","19,454,545","22,004,158","20,210,666","25,155,167"
,RDT positive,"37,987","181,515","1,249,109",,"3,053,650","6,164,171","8,193,758","9,973,390","5,300,265","12,359,786","12,548,724","11,131,747","15,006,036"
United Republic of Tanzania2,Suspected cases,"15,452,268","15,442,493","14,659,506","15,177,829","25,197,621","20,829,480","17,881,657","20,276,522","22,784,288","20,981,250","22,471,902","20,794,633","19,062,775"
,Presumed and confirmed,"12,893,899","10,165,442","8,478,109","8,587,728","7,403,952","8,406,354","6,624,054","5,988,136",6’558’257£,6’575’185£,6’346’069£,4’632’180£,3’666’741+£
,Confirmed,"1,279,362","2,151,236","1,987,629","1,554,690","680,407","4,902,828","5,762,462","5,744,907",6’392’846£,6’485’437£,6’308’276£,4’623’393£,3’661’208+£
,Microscopy examined,"3,701,608","5,800,195","7,077,411","6,888,029","727,130","673,223","1,386,389","2,888,538","3,015,052","1,840,897","1,696,487","1,534,975","1,151,121"
,Microscopy positive,"1,277,388","1,813,654","1,772,736","1,481,759","572,289","412,702","1,262,679","916,742","831,903","366,673","296,052","229,485","174,640"
,RDT examined,"136,123","1,628,092","1,091,615","1,256,762","17,746,946","16,652,731","15,633,676","17,144,755","19,603,825","18,861,368","20,620,288","19,210,871","17,898,920"
,RDT positive,"1,974","337,582","214,893","72,931","108,118","4,490,126","4,499,783","4,828,165","5,221,811","5,546,911","5,681,861","4,227,333","3,355,968"
,Imported cases,,,,719$,1’583$,2’550$,,,1’754$,3’286$,4’314$,4’319$,"6,244"
Mainland2,Suspected cases,"15,180,191","14,986,775","14,122,756","14,649,872","24,880,179","20,451,119","17,526,829","19,930,496","22,440,865","20,570,343","22,009,560","20,273,766","18,629,918"
,Presumed and confirmed,"12,819,556","10,160,953","8,474,952","8,585,128","7,399,316","8,400,537","6,617,261","5,982,270",6’554’247+£,6’568’222+£,6’331’881+£,4’625’830+£,3’662’184+*£
,Confirmed,"1,277,024","2,146,747","1,984,698","1,552,444","678,207","4,898,211","5,755,669","5,739,863",6’389’514+£,6’478’474+£,6’294’088+£,4’617’043+£,3’656’651+*£
,Microscopy examined,"3,637,659","5,656,907","6,931,025","6,804,085","592,320","532,118","1,285,720","2,826,948","2,937,666","1,768,635","1,627,724","1,480,697","1,113,993"
,Microscopy positive,"1,277,024","1,813,179","1,772,062","1,481,275","571,598","411,741","1,261,650","915,887","830,668","364,890","293,049","228,379","174,276"
,RDT examined,,"1,315,662","701,477","813,103","17,566,750","16,416,675","15,379,517","16,861,141","19,338,466","18,711,960","20,344,043","18,784,282","17,510,392"
,RDT positive,,"333,568","212,636","71,169","106,609","4,486,470","4,494,019","4,823,976","5,219,714","5,541,731","5,670,676","4,222,089","3,351,775"
,Imported cases,,,,,,,,,,,,,"2,951"
Zanzibar2,Suspected cases,"272,077","455,718","536,750","527,957","317,442","378,361","354,828","346,026","343,423","427,029","462,342","520,867","432,857"
,Presumed and confirmed,"74,343","4,489","3,157","2,600","4,636","5,817","6,793","5,866","4,010","6,963",14’188*,"6,350","4,557"
,Confirmed,"2,338","4,489","2,931","2,246","2,200","4,617","6,793","5,044","3,332","6,963",14’188*,"6,350","4,557"
,Microscopy examined,"63,949","143,288","146,386","83,944","134,810","141,105","100,669","61,590","77,386","72,262","68,763","54,278","37,128"
,Microscopy positive,364,475,674,484,691,961,"1,029",855,"1,235","1,783","3,003","1,106",364
,RDT examined,"136,123","312,430","390,138","443,659","180,196","236,056","254,159","283,614","265,359","149,408","276,245","426,589","388,528"
,RDT positive,"1,974","4,014","2,257","1,762","1,509","3,656","5,764","4,189","2,097","5,180","11,185","5,244","4,193"
,Imported cases,,,,719,"1,583","2,550",,,"1,754","3,286","4,314","4,319","3,293"
Zambia,Suspected cases,,,,,"7,859,740","8,116,962","9,627,862","10,952,323","10,055,407","11,340,409","15,491,235","13,957,528","16,376,877"
,Presumed and confirmed,"4,229,839","4,607,908","4,695,400","5,465,122","5,972,933","5,094,123","5,976,192","6,054,679","5,195,723","5,360,020","8,698,304","7,159,243","8,318,534"
,Confirmed,,,,,"4,077,547","4,184,661","4,851,319","5,505,639","5,039,679","5,147,350","8,121,215","6,769,142","8,126,829"
,Microscopy examined,,,,,,,,,"180,697","275,323","398,195","446,750","416,225"
,Microscopy positive,,,,,,,,,"49,855","78,474","128,291","117,585","98,782"
,RDT examined,,,,,"5,964,354","7,207,500","8,502,989","10,403,283","9,718,666","10,852,416","14,513,049","13,120,677","15,768,947"
,RDT positive,,,,,"4,077,547","4,184,661","4,851,319","5,505,639","4,989,824","5,068,876","7,992,924","6,651,557","8,028,047"
Zimbabwe2,Suspected cases,"912,618","480,011","734,997","1,128,954","1,504,682","1,693,630","1,499,675","1,828,301","1,293,392","1,324,299","1,389,065","922,001","985,957"
,Presumed and confirmed,"648,965","321,901","277,736","423,702","572,944","484,794","384,029","767,069","264,018","308,173","447,381","133,137","141,076"
,Confirmed,"249,379","321,901","277,736","423,702","550,696","484,794","316,989","471,798","264,018","308,173","447,381","133,137","141,076"
,Microscopy examined,,"10,004","7,823","13,949","28,745","55,192","102,566",,"2,771",,,,
,Microscopy positive,"249,379","1,966",773,"1,069","2,420","2,415","2,986","3,522",,,,,
,RDT examined,"513,032","470,007","727,174","1,115,005","1,453,689","1,638,438","1,330,069","1,533,030","1,290,621","1,297,197","1,356,433","904,833","967,891"
,RDT positive,"249,379","319,935","276,963","422,633","548,276","482,379","314,003","468,276","264,018","308,173","447,381","133,137","141,076"
,Imported cases,,,,,,180,358,768,672,,,,
AMERICAS,,,,,,,,,,,,,,
"Argentina1,2,3",Suspected cases,"2,547","7,872","7,027","4,913","5,691","3,862","3,479","2,114",345,"2,850","1,268",439,"1,077"
,Presumed and confirmed,121,28,16,11,15,11,9,16^,28,22,13,13,10
,Confirmed,121,28,16,11,15,11,9,16^,28,22,13,13,10
,Microscopy examined,"2,547","7,872","7,027","4,913","5,691","3,862","3,479","2,114",345,"2,850","1,268",439,"1,077"
,Microscopy positive,121,28,16,11,15,11,9,16,28,22,13,13,10
,RDT positive,,,,,,,,2,,,,,
,Imported cases,55,28,16,11,15,11,9,18,23,22,13,13,10
"Belize1,2,3",Suspected cases,"27,366","22,996","20,789","25,351","24,122","26,367","20,936","26,995","17,642","19,731",10’711**,10’893**,"28,121"
,Presumed and confirmed,150,79,37,26,19,13^‡,5,9^‡,7,2,0,0,0
,Confirmed,150,79,37,26,19,13^‡,5,9^‡,7,2,0,0,0
,Microscopy examined,"27,366","22,996","20,789","25,351","24,122","26,367","20,936","26,995","17,642","19,731","10,711","10,893","10,514"
,Microscopy positive,150,79,37,26,19,13,5,9,7,2,0,0,0
,RDT examined,,,,,,,,,,,114,"7,278","16,299"
,RDT positive,,,,,,5,,3,,,0,0,0
,Imported cases,,7,4,4,0,4,1,2,4,2,0,0,0
,Relapse cases,,0,0,2,0,0,0,0,0,0,0,0,0
Bolivia (Plurinational State of)2,Suspected cases,"140,857","150,662","132,904","144,049","124,900","159,167","155,407","151,697","139,938","137,473","136,795","139,279","155,466"
,Presumed and confirmed,"13,769","7,143","7,415","7,342","7,401","6,907","5,553","4,587","5,354","9,357","12,187","9,959","10,330"
,Confirmed,"13,769","7,143","7,415","7,342","7,401","6,907","5,553","4,587","5,354","9,357","12,187","9,959","10,330"
,Microscopy examined,"133,463","143,272","121,944","133,260","124,900","159,167","155,407","151,697","139,938","110,028",,,
,Microscopy positive,"12,252","6,108","6,293","6,272","7,401","6,907","5,553","4,334","5,261","8,118","8,507","7,404","7,692"
,RDT examined,"7,394","7,390","10,960","10,789",,,,,,"27,445",,,
,RDT positive,"1,517","1,035","1,122","1,070",,,,253,93,"1,239","3,680","2,555","2,638"
,Imported cases,,,,,,33,11,15,12,19,7,15,9
Brazil2,Suspected cases,"2,711,433","2,477,821","2,349,341","1,893,018","1,756,460","1,590,403","1,364,912","1,696,063","1,800,465","1,591,308","1,232,321","1,234,266","1,391,127"
,Presumed and confirmed,"334,668","267,146","242,758",206206+,162929+,169390+,152160+,238517+,244042+,190745+,172419+,163585+,151530+
,Confirmed,"334,668","267,146","242,758",206206+,162929+,169390+,152160+,238517+,244042+,190745+,172419+,163585+,151530+
,Microscopy examined,"2,711,432","2,476,335","2,325,775","1,873,518","1,744,640","1,573,538","1,341,639","1,656,685","1,754,244","1,539,938","1,163,048","1,138,847","1,151,314"
,Microscopy positive,"334,667","266,713","237,978","174,048","142,744","139,844","124,210","184,876","181,968","146,868","127,403","119,735","113,752"
,RDT examined,1,"1,486","23,566","19,500","11,820","16,865","23,273","39,378","46,221","51,370","69,273","95,419","80,477"
,RDT positive,1,433,"4,780","3,719","1,384","3,318","5,034","9,549","12,606","10,586","17,785","20,651","17,502"
,Imported cases,,,,"8,923","4,856","4,932","5,068","4,867","6,816","4,165","1,811","1,365","2,254"
,Relapse cases,,,,"27,660","20,185","23,229","22,916","44,092","49,469","33,286","27,213","23,199","20,276"
Colombia2,Suspected cases,"521,342","418,032","416,767","327,055","403,532","328,434","296,091","254,380","208,538","295,406","212,399","239,060","222,903"
,Presumed and confirmed,"117,650",64’436+‡,"60,179",51’722+‡,"40,768",55’866+‡,83’227+‡,54’102+‡,63’143+‡,80’415+‡,76’236+*‡,73’979+‡,"73,561"
,Confirmed,"117,650",64’436+‡,"60,179",51’722+‡,"40,768",55’866+‡,83’227+‡,54’102+‡,63’143+‡,80’415+‡,76’236+*‡,73’979+‡,"73,561"
,Microscopy examined,"521,342","396,861","346,599","284,332","325,713","316,451","242,973","244,732","195,286","283,471","202,736","222,155","195,291"
,Microscopy positive,"117,637","60,121","50,938","44,293","36,166","48,059","57,515","38,349","42,810","47,806","40,155","34,114","59,811"
,RDT examined,,"21,171","70,168","42,723","77,819","11,983","53,118","9,648","13,252","11,935","9,663","16,905","27,612"
,RDT positive,13,"4,188","9,241","7,403","4,602","3,535","5,655","5,056","3,407","3,703","5,284","5,396","13,750"
,Imported cases,,,,,,"7,785",618,"1,297","1,948","2,306",466,733,864
Costa Rica2,Suspected cases,"15,599","10,690","7,485","16,774","4,420",7’373**,5’160**,9’680**,9’000**,"10,631",7’754**,12’383**,10’946**
,Presumed and confirmed,137,17,8,6,6,8‡,13‡,25‡,152^,149,141^,232^,462^
,Confirmed,137,17,8,6,6,8‡,13‡,25‡,152^,149,141^,232^,462^
,Microscopy examined,"15,599","10,690","7,485","16,774","4,420","7,373","5,160","9,680","9,000","10,631","4,200","2,001","10,946"
,Microscopy positive,137,17,8,6,6,8,13,25,110,149,141,232,409
,RDT examined,,,,,,3,2,3,700,,"3,647","12,383","20,093"
,RDT positive,,,,,,3,2,3,44,,93,128,398
,Imported cases,4,6,1,4,5,8,9,13,38,45,34,27,36
,Relapse cases,0,0,0,2,1,0,0,0,2,4,4,12,5
Dominican Republic2,Suspected cases,469’052**,"477,555","506,583","502,683","416,729",317’257**,"251,245",226’988**,132’775**,143’366**,59’826**,48’139**,"77,709"
,Presumed and confirmed,2’482^,"1,616",952,579,496,661‡,755+‡,398‡,484^,1’314^,829^,291,337
,Confirmed,2’482^,"1,616",952,579,496,661‡,755+‡,398‡,484^,1’314^,829^,291,337
,Microscopy examined,"469,052","421,405","415,808","431,683","362,304","317,257","228,795","226,988","132,775","143,366","59,843","48,139","49,466"
,Microscopy positive,"2,482","1,616",952,579,496,661,487,398,322,"1,314",829,17,0
,RDT examined,"26,585","56,150","90,775","71,000","54,425","7,659","22,450","87,397","42,425","55,000","7,570","26,839","28,243"
,RDT positive,932,,,,,129,80,74,221,"1,313",241,274,337
,Imported cases,,,,106,37,30,65,57,87,37,3,7,17
,Relapse cases,,,,,0,0,3,0,23,3,,,
Ecuador2,Suspected cases,"488,830","460,785","459,157","397,628","370,825","261,824","311,920","306,894",237’995**,"177,742","163,990","184,862","122,820"
,Presumed and confirmed,"1,888","1,233",560,378,242,686^‡,"1,424",1’380^‡,1’806^,"1,909",2089+,2436+,1’666+*
,Confirmed,"1,888","1,233",560,378,242,686^‡,"1,424",1’380^‡,1’806^,"1,909",2089+,2436+,1’666+*
,Microscopy examined,"481,030","460,785","459,157","397,628","370,825","261,824","311,920","306,894","237,995","177,742","163,607","149,568","122,504"
,Microscopy positive,"1,888","1,233",560,378,242,686,"1,424","1,380","1,589","1,428","1,618","1,778","1,213"
,RDT examined,"7,800",,,,,,,,"6,782",,383,"35,294",316
,RDT positive,,,,,,6,,6,217,481,383,467,315
,Imported cases,,14,14,10,,59,233,105,153,106,67,70,42
,Relapse cases,,0,2,0,,,,,,,65,183,138
"El Salvador1,2,3",Suspected cases,"115,256",100’883**,"124,885","103,748","106,915","89,267","81,904","70,022",52’216**,"89,992","18,868","12,415","22,235"
,Presumed and confirmed,26,15^,20,7,8,9,14,4,2^,3,0,4,1
,Confirmed,26,15^,20,7,8,9,14,4,2^,3,0,4,1
,Microscopy examined,"115,256","100,883","124,885","103,748","106,915","89,267","81,904","70,022","52,216","89,992","18,868","12,415","22,235"
,Microscopy positive,26,15,20,7,8,9,14,4,2,3,0,4,1
,RDT examined,,1,,,,,,,1,,,,
,RDT positive,,1,,,,,,,1,,,,
,Imported cases,9,8,7,1,2,4,1,3,2,3,0,4,1
French Guiana2,Suspected cases,"14,373","14,429","13,638","22,327","14,651","11,558","9,430",,,,"6,238",,5’322**
,Presumed and confirmed,1’632^‡,1’209^‡,900^‡,875+‡,448,434,258,597,546,212§,154,143,51^
,Confirmed,1’632^‡,1’209^‡,900^‡,875+‡,448,434,258,597,546,212§,154,143,51^
,Microscopy examined,"14,373","14,429","13,638","22,327","14,651","11,558","9,430",,,,"6,238",,"4,600"
,Microscopy positive,"1,085",720,523,321,242,297,173,468,546,178,120,122,38
,RDT examined,,,,,,,,,,,,,736
,RDT positive,944,704,499,551,206,137,85,129,,34,34,21,27
,Imported cases,,,,,,60,41,43,,36,14,37,15
,Relapse cases,,,,,,0,0,0,,,,32,15
Guatemala2,Suspected cases,"237,075","195,080","186,645","153,731",250’964**,295’246**,333’535**,372’158**,438’833**,427’239**,319’660**,"369,252","454,272"
,Presumed and confirmed,7’384+‡,"6,817","5,346","6,214","4,931",5’540^,5’001+‡,4’124‡,3’021‡,2’072^,1’058‡,"1,273",1856+
,Confirmed,7’384+‡,"6,817","5,346","6,214","4,931",5’540^,5’001+‡,4’124‡,3’021‡,2’072^,1’058‡,"1,273",1856+
,Microscopy examined,"235,075","195,080","186,645","153,731","250,964","295,246","333,535","372,158","438,833","427,239","319,660","369,252","381,272"
,Microscopy positive,"7,198","6,817","5,346","6,214","4,931","5,538","4,854","3,744","3,021","2,072","1,058","1,273","1,811"
,RDT examined,"2,000",,,,"50,025","6,500","74,859","170,325","75,300","61,275","16,000",,"73,000"
,RDT positive,,,,,,"1,298",1,"2,078","1,748","1,309",292,,
,Imported cases,,,,,2,2,1,3,3,3,0,,
